Transaction_ID,Customer_ID,Customer_Name,Email,Phone,Country,Merchant,Category,Order_Value,Installments,Payment_Status,Days_Late,Credit_Score,Monthly_Income,Age,Order_Date
22,662336,Daniel Stone,williamwilson@example.org,(815)244-6254x371,Qatar,Jarir,Beauty,958.27,6,Paid,4,776.0,29477.0,53,2025-09-06
23,202664,Alexandra Pace,travisturner@example.net,(205)885-6190,UAE,Sharaf DG,Electronics,4846.53,3,Paid,31,796.0,10004.0,43,2024-09-08
24,161483,Lori Soto MD,qmorris@example.com,401-904-1066x357,Saudi Arabia,IKEA,Electronics,4927.28,4,Late,29,696.0,16861.0,53,2025-06-24
25,794022,Maria Townsend,tjohnson@example.net,911.213.8061x141,Qatar,Jarir,Fashion,1518.7,2,Paid,34,581.0,27509.0,38,2025-09-08
26,159942,Zachary Mosley,dmoore@example.com,212.232.0880x87771,UAE,Virgin Megastore,Beauty,2539.11,3,Paid,32,591.0,9089.0,22,2025-04-21
27,723939,Samantha Smith,juliecunningham@example.com,(952)374-3566,UAE,Namshi,Beauty,643.44,3,Paid,2,591.0,16737.0,60,2025-10-15
28,712024,Amy Morris,jeremyburnett@example.net,(592)351-8150,Kuwait,Extra,Fashion,3365.14,4,Paid,25,617.0,25009.0,59,2024-11-15
29,414569,Gabriel Sanchez,gibsonadam@example.org,+1-433-698-3560x9038,Qatar,Carrefour,Electronics,96.11,2,Paid,13,809.0,11690.0,26,2024-10-07
30,465962,Cassandra House,fmay@example.net,687-999-7932,UAE,Namshi,Home,1460.69,6,Late,45,704.0,23043.0,59,2025-07-18
31,654634,Holly Carter,anna37@example.org,699-620-2720,UAE,Sharaf DG,Home,4662.19,2,Late,8,685.0,6782.0,24,2025-12-15
32,878480,Taylor Moore,wgarza@example.net,(894)362-8395,Saudi Arabia,Extra,Home,3043.91,4,Paid,40,685.0,19561.0,49,2024-10-20
33,363319,Scott Gross,lisawhite@example.net,(646)433-4277,UAE,Amazon UAE,Beauty,4155.27,2,Paid,8,684.0,8294.0,46,2025-01-20
34,678478,Justin Castillo,gherrera@example.net,001-986-965-6251,Qatar,Sharaf DG,Electronics,603.78,3,Paid,23,848.0,,27,2026-02-05
35,550664,Natasha Mccall,rileymark@example.net,+1-985-337-2074x036,Saudi Arabia,Noon,Home,1855.03,2,Late,13,677.0,24854.0,24,2025-09-25
36,470858,Todd Christian,greenmelinda@example.org,(973)510-8579x8750,Qatar,Virgin Megastore,Fashion,4632.53,3,Late,11,761.0,,29,2025-04-10
37,872343,Julia Moore,dustincampbell@example.com,529.204.0751x155,Kuwait,IKEA,Fashion,1370.69,2,Paid,2,790.0,10288.0,30,2026-05-03
38,956253,Rebecca Small,prush@example.com,3168774453,Qatar,Carrefour,Home,4111.66,3,Paid,42,648.0,16056.0,39,2026-07-15
39,392136,Mary Flores,econtreras@example.org,844-498-9015,UAE,Extra,Home,3225.33,6,Paid,34,719.0,3904.0,25,2026-05-05
40,373903,Bryan Lewis,adamsmatthew@example.net,509.561.5945x614,Saudi Arabia,Virgin Megastore,Home,239.37,6,Paid,20,773.0,,50,2026-02-22
41,221263,Terri Brown,fergusonjustin@example.org,001-987-889-3150x0731,Qatar,Virgin Megastore,Fashion,1310.88,6,Paid,34,650.0,14934.0,45,2026-03-05
42,173372,Christopher Oneill,gsmith@example.org,001-945-959-0251x8626,Kuwait,Virgin Megastore,Home,3333.77,2,Paid,19,809.0,13134.0,60,2024-10-30
43,528231,Jill Roberts,mwilliams@example.org,951-264-1036,Kuwait,IKEA,Home,2794.34,3,Paid,24,639.0,23169.0,54,2025-04-03
44,415568,Dylan Murphy,lwright@example.com,001-474-966-8326x42300,Qatar,Sharaf DG,Electronics,1554.18,3,Paid,37,714.0,18236.0,46,2026-05-11
45,563638,Tasha Eaton,icampbell@example.com,470-223-6349,Saudi Arabia,Sharaf DG,Beauty,3978.99,3,Paid,18,813.0,24753.0,58,2026-04-22
46,749342,Mr. Bobby Walsh,randyyoung@example.com,313-970-0531x57231,Kuwait,Amazon UAE,Fashion,3380.34,3,Late,9,562.0,4514.0,33,2026-06-25
47,598216,Scott Rice,zatkinson@example.com,(475)836-8919x006,UAE,Centrepoint,Beauty,4436.38,3,Paid,24,803.0,16095.0,33,2026-06-09
48,254739,Sara Chang,melanie65@example.com,997-874-0361x90408,UAE,Amazon UAE,Beauty,1133.26,6,Paid,15,612.0,17957.0,26,2025-11-22
49,940346,Travis Carter,gburns@example.org,001-209-654-8901x42800,Qatar,Sharaf DG,Travel,2997.49,6,Paid,32,768.0,20952.0,46,2026-03-22
50,266889,Matthew Gutierrez,mercadokristy@example.net,514-248-8629,Qatar,Centrepoint,Home,3771.3,4,Paid,33,798.0,23537.0,33,2025-03-02
51,387936,Richard Rodriguez,jennifer33@example.com,001-920-857-4455x882,Qatar,Amazon UAE,Home,1210.74,4,Paid,34,591.0,7534.0,27,2025-08-11
52,342495,William Fisher,robert61@example.net,400-983-6141,Qatar,Jarir,Fashion,367.93,6,Paid,29,762.0,5040.0,31,2025-06-06
53,973349,Christopher Keith,zdoyle@example.org,+1-204-438-8263x6174,Qatar,IKEA,Travel,4733.01,2,Late,36,744.0,18629.0,18,2026-05-02
54,468845,Jamie Rowland,melinda61@example.net,(461)657-2653x14403,Kuwait,IKEA,Beauty,2714.19,3,Paid,17,,18913.0,19,2026-04-27
55,507746,Frank Fitzpatrick,dennis47@example.net,974-831-4395,Kuwait,IKEA,Fashion,4210.5,3,Default,34,563.0,15911.0,55,2025-01-13
56,691807,Chase Becker,bentonbrian@example.org,7912680887,UAE,Amazon UAE,Beauty,721.71,6,Paid,16,744.0,13726.0,31,2025-11-16
57,576786,Connor Thompson,vreeves@example.net,(653)580-0590x243,Kuwait,Carrefour,Beauty,1427.37,6,Paid,5,790.0,3635.0,52,2025-09-02
58,154615,Terri Jacobs,tuckercarrie@example.com,305.791.6569x7502,Kuwait,Namshi,Electronics,3917.1,2,Paid,15,652.0,3667.0,57,2024-08-06
59,259784,Brian Ramirez,shermanjennifer@example.net,(242)717-0692,Saudi Arabia,Jarir,Beauty,3363.82,3,Paid,16,738.0,8498.0,56,2025-04-02
60,736745,Sarah Clark,sberg@example.com,9873266652,UAE,Jarir,Home,585.09,2,Late,36,742.0,15997.0,30,2025-08-05
61,179688,Nicholas Vega,davisbrandon@example.com,(772)745-6746x01151,Saudi Arabia,Amazon UAE,Home,4258.95,2,Paid,36,571.0,14377.0,52,2026-02-04
62,549186,Patricia Mendez,jennifer65@example.com,619-797-0936x867,Kuwait,Amazon UAE,Travel,3255.34,2,Late,31,604.0,17205.0,41,2025-04-13
63,766459,Ann Beltran,shill@example.net,+1-476-491-0297,Qatar,Jarir,Beauty,921.88,4,Paid,34,797.0,18232.0,45,2025-04-07
64,965845,Carrie Sloan,nwalters@example.net,+1-439-536-2678x557,Kuwait,Carrefour,Fashion,4162.12,2,Paid,28,674.0,27591.0,47,2025-12-21
65,697530,Antonio Flores,kristina55@example.com,001-677-211-7140x00976,Qatar,Carrefour,Electronics,2496.82,4,Paid,13,731.0,29143.0,34,2024-12-24
66,456871,Chad Wells,christopherfaulkner@example.net,9197323012,Kuwait,Virgin Megastore,Home,2801.17,3,Paid,26,800.0,21192.0,33,2025-01-10
67,824156,Michael Smith,douglascarr@example.com,234.512.6514x679,Qatar,Centrepoint,Beauty,3975.02,2,Paid,25,674.0,13033.0,60,2026-01-29
68,709805,Pamela Alvarez,matthew73@example.com,001-884-691-9768x40753,Kuwait,Centrepoint,Travel,2678.06,6,Default,35,719.0,14528.0,47,2025-03-07
69,384076,Russell Fuentes,michael86@example.org,711.479.9855,Kuwait,Extra,Fashion,647.25,3,Paid,34,644.0,9276.0,31,2025-10-13
70,874483,Carol Patel,cunninghamnicole@example.com,937.204.0970x315,Qatar,Extra,Travel,4884.2,4,Default,12,701.0,10454.0,41,2026-05-23
71,288158,Christopher Nelson,rlawrence@example.org,+1-826-601-2733,Kuwait,Noon,Travel,676.59,2,Default,35,699.0,25852.0,26,2025-12-15
72,768854,James Bailey,brittneyvillanueva@example.org,(313)853-5637x948,Qatar,Amazon UAE,Electronics,2891.62,6,Paid,21,644.0,4683.0,34,2025-01-31
73,600935,Elizabeth Landry,vfoster@example.com,+1-308-429-1026,UAE,Amazon UAE,Beauty,2484.15,2,Paid,36,705.0,5791.0,33,2024-11-07
74,224205,Christine Harrell,terrybishop@example.net,(627)458-2812,Qatar,Virgin Megastore,Travel,3964.17,3,Paid,24,780.0,17507.0,37,2025-09-03
75,717113,Kelly Obrien,jbryan@example.org,001-592-582-0614,Qatar,Extra,Travel,3124.09,2,Late,13,658.0,11671.0,60,2025-09-04
76,185131,Marie English,ebrown@example.org,+1-581-883-6247,Saudi Arabia,Namshi,Fashion,2782.36,3,Paid,28,790.0,12543.0,20,2026-06-22
77,342720,Christopher Zuniga,ricardoferguson@example.com,605-648-2135x1948,Kuwait,Extra,Beauty,402.34,3,Late,40,651.0,16930.0,25,2025-06-14
78,671015,Sarah Johnson,ocolon@example.org,931.421.8022,Saudi Arabia,Jarir,Home,4141.82,2,Paid,19,841.0,12457.0,46,2026-01-05
79,230394,Alice Young,dawnjones@example.com,556-522-6251x3903,Qatar,Extra,Beauty,4716.25,6,Paid,38,570.0,17156.0,38,2025-03-06
80,733039,Benjamin Noble,ohawkins@example.net,630-328-7851,Kuwait,Noon,Electronics,1183.18,2,Default,43,687.0,21882.0,20,2026-07-06
81,900177,Johnny Cooper,susanrivera@example.net,001-701-630-8128x21133,Saudi Arabia,Centrepoint,Travel,3274.97,4,Paid,37,773.0,23800.0,49,2026-06-22
82,195674,Veronica Horton MD,manderson@example.net,622.874.8303x618,Qatar,Carrefour,Beauty,1699.88,2,Late,21,760.0,25730.0,49,2024-11-17
83,402218,Gregory Mcdowell,jacobrowland@example.net,826.803.6202x49785,Qatar,Sharaf DG,Electronics,2301.39,4,Paid,7,756.0,19862.0,18,2025-10-17
84,789606,Benjamin Holden,joseph03@example.net,366-226-7222,Qatar,IKEA,Electronics,978.53,4,Paid,31,776.0,27903.0,21,2026-01-16
85,313446,Frederick Rodriguez,hollywalker@example.net,(815)660-3786,Kuwait,Sharaf DG,Fashion,4641.98,6,Late,31,612.0,3945.0,58,2025-08-11
86,738448,Roberta Grant,michaelpowell@example.net,(422)731-3667x3204,Saudi Arabia,Jarir,Home,2776.65,6,Paid,7,786.0,6849.0,59,2025-05-17
87,972565,Rachael Mullen,brianna64@example.com,(920)913-0939x42708,Saudi Arabia,Centrepoint,Home,2568.92,4,Paid,30,791.0,10986.0,47,2025-10-15
88,678043,Brian Hayes,powerssarah@example.net,450-921-2506,Saudi Arabia,IKEA,Fashion,4613.25,3,Late,17,762.0,14137.0,50,2024-08-04
89,380150,Andrew Mitchell,rebeccadominguez@example.net,275.304.5506,UAE,Extra,Home,4195.51,6,Late,28,825.0,18870.0,40,2026-03-06
90,448588,Tina Gutierrez MD,annacompton@example.org,703-580-2601,Qatar,Centrepoint,Home,4354.53,3,Paid,14,760.0,4430.0,38,2026-03-17
91,880879,John Parrish,wgordon@example.net,4793417126,Qatar,IKEA,Beauty,4942.65,3,Paid,2,614.0,19459.0,55,2026-07-22
92,448121,Michelle Davis,edwarddavis@example.net,+1-331-719-5777,UAE,Centrepoint,Electronics,2653.46,6,Paid,9,759.0,24455.0,27,2024-11-24
93,178463,Tony Schneider,michael67@example.org,+1-919-857-1886x81525,Qatar,Extra,Home,3135.13,6,Paid,21,823.0,15452.0,38,2024-09-24
94,757246,Caleb Hamilton,bryantmelanie@example.net,505.892.9026,Qatar,Sharaf DG,Electronics,3106.42,3,Paid,18,,27470.0,23,2025-02-05
95,555052,Lauren Smith,mrodriguez@example.com,(739)429-8179x17529,UAE,Amazon UAE,Beauty,-100.0,4,Late,2,716.0,29088.0,21,2026-03-21
96,407618,Alexander Walker,ronald95@example.net,499-749-1486,Kuwait,Carrefour,Beauty,770.57,6,Paid,11,637.0,8736.0,23,2025-03-09
97,739098,Elizabeth Bradley,johnstonmichael@example.org,(879)338-8468,Qatar,Virgin Megastore,Fashion,2513.45,3,Paid,40,680.0,,34,2025-11-20
98,799233,Kyle Roberson,vbradley@example.org,001-219-796-5481,UAE,Centrepoint,Home,3404.17,3,Paid,22,850.0,12802.0,58,2025-10-27
99,544920,Brittney Mendoza,nsutton@example.net,3115063392,Kuwait,Centrepoint,Home,1036.12,6,Late,6,671.0,15496.0,54,2026-01-21
100,476395,Dwayne Reyes,stephanieharrell@example.net,984.770.9983x16862,Kuwait,Extra,Electronics,4890.83,6,Paid,36,575.0,22870.0,49,2025-02-17
101,973294,Allen Martinez,alejandramason@example.com,(756)826-2458x485,Kuwait,Namshi,Travel,4019.56,3,Paid,39,678.0,25208.0,60,2024-10-29
102,813928,Dennis Martin,eric41@example.com,(668)229-3892x632,Saudi Arabia,Amazon UAE,Electronics,1579.22,6,Paid,23,617.0,5953.0,36,2025-10-27
103,442589,Abigail Nelson,lmcdonald@example.org,(220)205-7192x02127,Qatar,Jarir,Fashion,704.19,4,Paid,17,634.0,11420.0,48,2024-10-29
104,945664,Timothy Robinson,kblack@example.org,6134590153,Kuwait,Carrefour,Electronics,2368.24,2,Paid,14,753.0,29364.0,53,2026-03-18
105,483542,Monique Armstrong,stanley66@example.org,(788)510-9229x4172,UAE,IKEA,Electronics,1359.07,2,Paid,43,684.0,22154.0,42,2025-02-12
106,962367,Hailey Bowen,cliffordcook@example.org,806.669.7325x5945,Kuwait,Amazon UAE,Fashion,2383.81,4,Late,14,582.0,23820.0,47,2025-11-03
107,835132,Jason Ross,elainesolis@example.com,(611)986-0837,Kuwait,IKEA,Electronics,741.9,2,Paid,31,609.0,6184.0,33,2025-10-29
108,663658,Dr. Sean Bowers,zacharyaguirre@example.org,708.601.1948x0587,Saudi Arabia,IKEA,Beauty,1886.51,6,Paid,9,762.0,,24,2025-04-13
109,974190,Courtney Carter,ashleytrujillo@example.net,960.379.8474x1586,Qatar,Virgin Megastore,Beauty,4698.31,4,Paid,23,661.0,17528.0,46,2025-03-20
110,347582,Richard Brown,christopher09@example.com,(831)788-0516x153,Kuwait,Amazon UAE,Home,2745.11,4,Paid,17,647.0,7002.0,47,2024-12-04
111,196126,Richard Moyer,yschultz@example.net,(967)504-5783x100,Saudi Arabia,Virgin Megastore,Electronics,300.36,4,Paid,8,839.0,9724.0,22,2025-06-18
112,970127,Melvin Stevenson,bentonamy@example.org,+1-983-790-3672,Saudi Arabia,Virgin Megastore,Fashion,4074.61,3,Paid,9,551.0,12085.0,27,2025-07-25
113,236306,Alicia Barton,robincampbell@example.com,001-987-641-7006x9791,Kuwait,Jarir,Electronics,3322.24,2,Paid,22,671.0,22295.0,38,2024-11-06
114,116547,Thomas Butler,gkramer@example.com,001-655-282-5434x6900,Saudi Arabia,Extra,Electronics,677.45,6,Paid,4,793.0,17689.0,41,2025-01-19
115,638169,Michael Miller,amandasweeney@example.net,(977)279-7859x0227,UAE,Centrepoint,Travel,1146.67,2,Paid,42,816.0,12883.0,47,2026-06-28
116,774591,Teresa Ellis,tammymoore@example.com,(554)427-1652,UAE,Noon,Beauty,4244.13,6,Paid,31,777.0,5408.0,23,2025-06-06
117,437758,Christy Key,justin54@example.net,303-277-6728x33589,Saudi Arabia,Amazon UAE,Fashion,1411.33,4,Paid,38,821.0,12663.0,47,2025-01-25
118,630108,Christopher Henry,lmorris@example.org,+1-465-893-8051x60488,Qatar,Amazon UAE,Electronics,4271.32,3,Paid,14,761.0,14106.0,47,2025-01-16
119,518098,Anna Bowers,ethandaniels@example.org,867-215-7437x4010,Qatar,Amazon UAE,Home,2162.48,4,Paid,9,,5199.0,23,2026-01-07
120,972176,Erin Brewer,allenkimberly@example.org,+1-781-383-3074x751,UAE,Amazon UAE,Beauty,527.99,4,Late,35,580.0,,53,2025-04-23
121,688967,Elizabeth Anderson,choiamy@example.com,983-861-5893,Kuwait,Amazon UAE,Beauty,1800.31,6,Late,3,697.0,22674.0,37,2026-06-22
122,468727,Kelly Valdez,monicagarcia@example.org,+1-375-381-1187x42848,UAE,Virgin Megastore,Travel,1103.06,6,Paid,6,729.0,21227.0,41,2024-08-22
123,220465,Patrick Armstrong,teresajohnson@example.org,+1-323-573-9917x926,Kuwait,Virgin Megastore,Fashion,4045.75,2,Paid,42,686.0,3948.0,29,2025-06-21
124,386544,Jimmy Walsh,owenseric@example.net,616-609-0889x99410,Kuwait,Carrefour,Home,80.22,3,Paid,25,585.0,7648.0,58,2025-11-25
125,132146,Jean Lee,xjohnson@example.net,929-595-5813x95936,UAE,Sharaf DG,Fashion,1912.16,6,Paid,23,709.0,26645.0,38,2025-02-14
126,914571,Nathan Dixon,wayne47@example.org,491-767-1207,UAE,Noon,Fashion,829.18,2,Paid,17,776.0,24690.0,45,2026-05-26
127,609253,Jocelyn Jones,ralphmeyer@example.net,258.649.5309,Qatar,IKEA,Home,1117.07,2,Paid,7,695.0,25223.0,55,2024-10-28
128,610271,Keith Young,kelly01@example.com,001-479-580-9509,Kuwait,Noon,Fashion,2006.55,2,Paid,19,658.0,28144.0,26,2025-10-22
129,901280,Debra Perez,icombs@example.net,3162493457,Kuwait,Extra,Home,643.92,6,Paid,11,616.0,15458.0,52,2024-11-30
130,837852,Jon Osborn,halesherri@example.com,415.222.2475x17497,Saudi Arabia,Sharaf DG,Travel,4175.1,4,Paid,2,773.0,3614.0,47,2025-10-04
131,181644,Laura Anderson,fishersamantha@example.org,(790)881-9549,Kuwait,Virgin Megastore,Beauty,2888.33,6,Paid,25,560.0,13642.0,28,2025-11-28
132,940247,Laurie Jones,davidewing@example.net,001-888-779-6058x52186,Qatar,Carrefour,Electronics,2211.72,2,Paid,37,755.0,20169.0,23,2025-09-17
133,514991,Gregory Wilson,lynn17@example.net,(207)268-5507,Kuwait,Carrefour,Fashion,1698.69,3,Paid,40,608.0,20386.0,50,2025-05-09
134,303322,Rachael Campbell,michael91@example.com,496-709-8099x4159,Kuwait,Carrefour,Fashion,1219.53,3,Paid,11,628.0,27910.0,59,2024-09-19
135,179013,Erik Winters,atkinsonmallory@example.net,001-815-450-0382,Saudi Arabia,Centrepoint,Beauty,3784.51,6,Paid,36,715.0,23552.0,38,2024-09-19
136,258290,Seth Williams,andrea85@example.com,858-733-9513x0081,Qatar,Amazon UAE,Beauty,2238.93,4,Paid,37,578.0,14532.0,50,2025-02-14
137,177794,Melissa Weber,barbara15@example.org,9017271049,Kuwait,Centrepoint,Beauty,236.16,4,Late,4,596.0,23152.0,56,2024-09-24
138,631699,Kevin Butler,wwallace@example.com,(737)768-6086x27944,Qatar,Centrepoint,Travel,2793.87,2,Paid,36,646.0,13535.0,56,2025-11-27
139,598733,Alexandria Heath,andersonjason@example.com,619-201-1956,Saudi Arabia,Noon,Beauty,562.33,4,Default,5,808.0,24172.0,29,2026-06-10
140,141043,Tiffany Ellis,tanner38@example.org,(709)947-6803,Saudi Arabia,Centrepoint,Beauty,2644.14,3,Paid,18,748.0,16394.0,39,2025-09-10
141,811875,Ryan Smith,bfischer@example.com,422-418-6045x529,UAE,Carrefour,Electronics,1681.97,6,Paid,42,626.0,13923.0,23,2026-03-02
142,711046,Brandon Smith,samuel89@example.net,(896)584-7032x3498,Saudi Arabia,Carrefour,Home,4840.1,6,Paid,45,,13144.0,53,2026-01-29
143,494976,Summer Buckley,jochoa@example.com,606.356.8699x725,Kuwait,Jarir,Travel,512.59,6,Paid,1,735.0,13120.0,29,2025-12-17
144,324597,Kevin Cohen,perkinsrachel@example.net,344-249-9414,Kuwait,Centrepoint,Fashion,1171.39,3,Paid,18,601.0,19635.0,52,2024-09-25
145,975686,Lauren Garrett,hudsoncolin@example.org,(223)668-1884x48433,UAE,Carrefour,Travel,698.69,6,Paid,11,634.0,26631.0,46,2025-10-09
146,145814,Todd Nichols,wlyons@example.net,+1-416-457-7015,Qatar,Carrefour,Fashion,4849.46,4,Paid,28,669.0,20498.0,33,2024-09-30
147,424500,Kimberly Williams,mbenitez@example.net,001-564-499-8234x9065,Qatar,Namshi,Home,3407.62,6,Paid,18,745.0,19479.0,51,2025-01-17
148,538997,Kathy Berry,johnsontracy@example.com,+1-897-882-9900x82034,Saudi Arabia,Namshi,Travel,735.07,4,Paid,30,740.0,21171.0,24,2025-05-29
149,845957,Kimberly Payne,jason70@example.net,3802873435,UAE,Extra,Electronics,3827.43,4,Paid,32,625.0,17335.0,23,2025-09-27
150,332823,Jordan Duffy,vjones@example.org,(590)645-7158x925,Qatar,Carrefour,Electronics,2103.74,6,Paid,15,747.0,5674.0,41,2025-08-26
151,335445,Julia Williams,hpittman@example.com,361-258-8674,UAE,Carrefour,Electronics,-100.0,4,Paid,8,569.0,12400.0,48,2026-02-19
152,829884,Joshua Barron,rreed@example.org,620-695-3255x37064,Saudi Arabia,Centrepoint,Beauty,3095.97,2,Paid,13,626.0,20983.0,56,2025-09-26
153,653408,Ashley Cunningham,garciacheryl@example.org,641-448-4733,Qatar,Amazon UAE,Home,1226.32,2,Paid,26,784.0,5058.0,25,2025-10-03
154,977330,Darrell Butler,wilsonmaria@example.net,001-448-417-0469x8205,Qatar,Virgin Megastore,Travel,131.35,3,Paid,18,769.0,3051.0,57,2024-12-19
155,469954,Vickie Wallace,keith06@example.org,(729)534-2319x150,Saudi Arabia,Virgin Megastore,Beauty,977.2,2,Paid,23,584.0,20237.0,52,2026-05-01
156,631971,Daniel Hunt,steven07@example.net,8373607286,UAE,IKEA,Beauty,265.5,6,Default,16,558.0,14701.0,22,2025-07-28
157,461551,Kristy Smith,william00@example.org,+1-589-421-7093x7803,Saudi Arabia,Amazon UAE,Travel,3689.18,4,Paid,22,829.0,14093.0,59,2024-12-13
158,283594,Andrew Cohen,xphillips@example.org,662-337-7199,Qatar,Centrepoint,Fashion,4066.91,2,Paid,29,568.0,12615.0,30,2025-01-30
159,145934,Donald Stephens,lindaward@example.org,4789750897,Saudi Arabia,Noon,Home,4670.19,6,Default,34,792.0,11300.0,20,2026-06-06
160,889882,Mr. Thomas Watkins,james05@example.net,501.362.1576x8493,Saudi Arabia,Extra,Home,4317.59,2,Late,21,689.0,7078.0,41,2025-07-24
161,558176,Paul Kim,onorton@example.org,001-208-564-6673,Qatar,Centrepoint,Beauty,1728.23,3,Paid,31,738.0,29125.0,51,2026-07-17
162,379676,Crystal Wright,laurawilson@example.com,(652)258-5338x22616,UAE,IKEA,Electronics,2181.51,3,Paid,20,602.0,5623.0,38,2025-09-10
163,793024,Michael Knight,patricia84@example.com,9996383825,Kuwait,Extra,Beauty,3032.98,6,Paid,28,729.0,17651.0,20,2026-03-12
164,862120,Jessica Davis,staceyfrank@example.net,522-325-2128,Kuwait,Virgin Megastore,Beauty,1409.05,2,Paid,40,757.0,14904.0,50,2025-08-29
165,940010,Cassandra Williams,iortega@example.org,574-769-4887x9226,Saudi Arabia,Noon,Fashion,4250.91,6,Paid,4,670.0,28510.0,59,2025-03-16
166,484123,Eric Young,johnsongina@example.org,874.340.7098,Kuwait,IKEA,Travel,210.31,3,Paid,23,740.0,17547.0,22,2026-02-01
167,701800,Veronica Callahan,mjordan@example.net,238.236.2302,Saudi Arabia,Sharaf DG,Home,2020.27,4,Paid,7,563.0,27106.0,29,2026-07-23
168,623285,Jessica Coleman,willismichelle@example.com,370.624.6355x0646,Qatar,Sharaf DG,Electronics,1345.79,4,Paid,13,696.0,25740.0,49,2025-11-26
169,309902,Michael Kelly,erik36@example.net,315-833-3087x5512,UAE,Jarir,Electronics,2287.61,6,Default,43,713.0,24883.0,40,2025-06-29
170,844007,Mrs. Jennifer Miller,jessicawilliams@example.net,8383912094,UAE,Sharaf DG,Travel,1487.29,4,Late,45,639.0,29007.0,41,2024-11-04
171,633469,Jessica West,dustin51@example.com,+1-629-288-6925x3346,Saudi Arabia,Amazon UAE,Fashion,3970.73,3,Paid,1,734.0,21154.0,54,2024-12-02
172,486831,Steve Thomas,ashleyfranco@example.org,001-650-269-5249x596,Qatar,Sharaf DG,Fashion,3079.14,2,Paid,25,795.0,20225.0,44,2025-09-07
173,906527,Kristina Shaw,matthewmiller@example.net,001-988-787-5430x38067,Qatar,Virgin Megastore,Electronics,670.37,4,Paid,28,788.0,25285.0,51,2024-12-10
